Timeline,Error_X,Error_Y,Error_Z,PID_X,PID_Y,PID_Z
2.5606849193573,3.329362853190364,-1.9113008972018752,-9.361726108132572,-115.06788637226452,66.05749032481852,21.57214420172516
2.599730968475342,3.4219180652450207,-0.8710336893350961,-9.993778607284511,-13,-18.655651018235734,13
2.664482355117798,3.5968146920585053,0.24805618565920728,-9.765802216652048,-13,-13.318909251337121,13
2.7117526531219482,3.6914811622758457,1.0183396309726471,-11.602005302764255,-13,-13.745686492322989,13
2.9667317867279053,5.195853815164688,-0.7697561207651391,-12.164636321731791,-13,13,13
3.0193636417388916,4.699736063911335,-0.5794195147287946,-12.42743934109933,-13,-13,13
3.066687822341919,3.966874402173994,-0.5202458232359336,-13.159568892553168,13,-13,13
3.360692262649536,-0.9599855807330374,-1.9839702001816104,-11.998918554977806,13.484752117741152,13,13
3.402541160583496,-1.5051988686873579,-2.748624021081262,-13.623857707533801,13,18.067492219351863,13
3.4595589637756348,-1.6887095657982314,-3.189784735396659,-10.362898574926305,13,13,-13
3.506300449371338,-1.9681514787859924,-2.6030390525879255,-11.424852052717469,13,-13,13
3.551337242126465,-2.3238560808989255,-3.328766818584947,-10.6577862435484,13,17.43281879535583,13
3.6577515602111816,-2.870107842203005,-2.6258433449942387,-8.699389839965548,13,-13,13
3.9042868614196777,-2.893972042708129,-5.968817338085516,-7.8274697509717726,13,19.914915101350704,13
3.95833420753479,-2.903220869326467,-6.653214492206486,-8.044239124839066,13,20.35873302211676,13
4.008694648742676,-2.690711115228243,-6.637087417562999,-7.267777880706063,13,13,13
4.055182218551636,-2.6193844788956744,-6.310335335521397,-6.972898608128034,13,13,13
4.103928327560425,-2.7329138469862957,-6.832284617465739,-6.837566909990926,13,19.400940568455148,13
4.15448522567749,-2.7661109600254297,-7.003557537085663,-6.210102766566138,13,14.256534085353424,13
4.208356857299805,-2.6330117910300093,-7.313921641750027,-5.825294775750237,13,16.60067308159906,13
4.254356622695923,-2.507345549072482,-7.63865737043012,-5.599156807128892,13,18.14936792462814,13
4.304173469543457,-2.370887340001535,-7.633100704395186,-5.054835548822609,13,13,13
4.403501510620117,-2.008079089179982,-7.630700538883931,-4.545399295070851,13,13.109228268029238,13
4.455184698104858,-1.7577395888647418,-7.427867294880038,-3.788936692672081,-13,13,13
4.505057334899902,-1.5475130247854247,-7.336358043427199,-4.479709366059367,-13,13,13
4.560134172439575,-1.3000527643870474,-7.122028187511651,-3.589537388496886,-13,13,13
4.609205484390259,-0.9511898225736101,-6.88213812803259,-2.946385317371252,-13,13,13
4.664851665496826,-0.5061506478272547,-6.748675304363397,-3.2688309784068466,-13,13,13
4.717007160186768,-0.222262386598193,-6.612306001296242,-2.5112962307417845,-13,13,-13
4.75908637046814,0.0,-6.278466120826985,-1.958547245003139,-13,13,13
4.803036212921143,0.22080407526809992,-6.237715126323822,-2.101146169153104,-13,13,13
